H  SOFTWARE NAME & VERSION
I  PCX5 2.08 by AFTrack91 1.1
H  R DATUM                IDX DA            DF            DX            DY            DZ
M  G WGS 84               121 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00

H  R DATUM        
U  LAT LON DEG

H  TRACK SUMMARY
H  Track            Pnts Date     Time     Duration
H  TN Paraiso        295 02-04-07 09:29:10 02:07:24  Puerto n. Paraiso


H  LATITUDE    LONGITUDE    DATE      TIME     ALT    
T  +28.4158999 -016.5248433 02-APR-07 10:25:08 66
T  +28.4158999 -016.5248316 02-APR-07 10:25:18 67
T  +28.4159266 -016.5247166 02-APR-07 10:25:26 67
T  +28.4164149 -016.5233116 02-APR-07 10:27:24 54
T  +28.4159416 -016.5230066 02-APR-07 10:28:30 47
T  +28.4159499 -016.5229783 02-APR-07 10:28:49 51
T  +28.4159816 -016.5228733 02-APR-07 10:29:02 55
T  +28.4159766 -016.5228133 02-APR-07 10:29:13 52
T  +28.4165599 -016.5225449 02-APR-07 10:30:24 58
T  +28.4165683 -016.5225449 02-APR-07 10:30:32 59
T  +28.4169950 -016.5226149 02-APR-07 10:31:37 65
T  +28.4169983 -016.5226133 02-APR-07 10:31:45 65
T  +28.4169950 -016.5225616 02-APR-07 10:31:52 65
T  +28.4169483 -016.5211783 02-APR-07 10:33:35 66
T  +28.4169916 -016.5208683 02-APR-07 10:33:59 64
T  +28.4171166 -016.5208033 02-APR-07 10:34:12 62
T  +28.4171399 -016.5208599 02-APR-07 10:34:20 61
T  +28.4171383 -016.5208583 02-APR-07 10:34:27 60
T  +28.4171233 -016.5207766 02-APR-07 10:34:47 60
T  +28.4171499 -016.5194749 02-APR-07 10:36:24 63
T  +28.4172233 -016.5193683 02-APR-07 10:36:39 63
T  +28.4172266 -016.5193699 02-APR-07 10:36:46 63
T  +28.4172366 -016.5193599 02-APR-07 10:36:59 63
T  +28.4178616 -016.5187683 02-APR-07 10:38:13 59
T  +28.4180183 -016.5187416 02-APR-07 10:38:30 57
T  +28.4185583 -016.5183399 02-APR-07 10:39:22 53
T  +28.4185816 -016.5183366 02-APR-07 10:39:29 53
T  +28.4190916 -016.5182816 02-APR-07 10:40:15 52
T  +28.4191483 -016.5182766 02-APR-07 10:40:22 52
T  +28.4191466 -016.5182516 02-APR-07 10:40:29 51
T  +28.4190916 -016.5182716 02-APR-07 10:40:51 48
T  +28.4190666 -016.5182733 02-APR-07 10:40:57 47
T  +28.4190366 -016.5183000 02-APR-07 10:41:05 46
T  +28.4189316 -016.5183966 02-APR-07 10:41:39 46
T  +28.4189066 -016.5184499 02-APR-07 10:41:47 47
T  +28.4183016 -016.5188333 02-APR-07 10:43:33 34
T  +28.4182466 -016.5188649 02-APR-07 10:43:40 34
T  +28.4181349 -016.5190400 02-APR-07 10:44:00 36
T  +28.4180983 -016.5190500 02-APR-07 10:44:09 36
T  +28.4176733 -016.5192899 02-APR-07 10:44:58 30
T  +28.4174950 -016.5196016 02-APR-07 10:45:36 26
T  +28.4174900 -016.5196616 02-APR-07 10:45:43 26
T  +28.4174633 -016.5197166 02-APR-07 10:45:51 27
T  +28.4174283 -016.5197666 02-APR-07 10:46:03 28
T  +28.4173783 -016.5198133 02-APR-07 10:56:09 14
T  +28.4174150 -016.5198083 02-APR-07 10:59:36 17
T  +28.4172733 -016.5198149 02-APR-07 11:08:54 10
T  +28.4174100 -016.5197949 02-APR-07 11:20:39 28
T  +28.4173666 -016.5197833 02-APR-07 11:21:48 25
T  +28.4173650 -016.5197733 02-APR-07 11:21:56 22
T  +28.4174083 -016.5197399 02-APR-07 11:22:10 19
T  +28.4174766 -016.5196599 02-APR-07 11:22:26 18
T  +28.4175116 -016.5194866 02-APR-07 11:22:44 19
T  +28.4176516 -016.5192666 02-APR-07 11:23:15 18
T  +28.4176583 -016.5192466 02-APR-07 11:23:33 17
T  +28.4178216 -016.5191199 02-APR-07 11:23:51 17
T  +28.4181066 -016.5189666 02-APR-07 11:24:30 20
T  +28.4182283 -016.5188150 02-APR-07 11:24:53 17
T  +28.4185416 -016.5185733 02-APR-07 11:25:36 21
T  +28.4189066 -016.5183683 02-APR-07 11:26:42 38
T  +28.4189366 -016.5183450 02-APR-07 11:26:56 40
T  +28.4189683 -016.5183183 02-APR-07 11:27:09 36
T  +28.4190533 -016.5182866 02-APR-07 11:27:25 39
T  +28.4191233 -016.5182800 02-APR-07 11:27:42 46
T  +28.4191583 -016.5182416 02-APR-07 11:27:54 46
T  +28.4191283 -016.5181733 02-APR-07 11:30:53 44
T  +28.4190749 -016.5179216 02-APR-07 11:31:14 45
T  +28.4190233 -016.5169516 02-APR-07 11:32:37 47
T  +28.4189883 -016.5168549 02-APR-07 11:32:49 47
T  +28.4189233 -016.5167066 02-APR-07 11:33:06 51
T  +28.4188916 -016.5166333 02-APR-07 11:33:26 53
T  +28.4188783 -016.5165866 02-APR-07 11:33:39 54
T  +28.4187433 -016.5165366 02-APR-07 11:35:34 52
T  +28.4182350 -016.5163183 02-APR-07 11:36:23 54
T  +28.4181500 -016.5162366 02-APR-07 11:36:36 56
T  +28.4175483 -016.5161583 02-APR-07 11:38:09 71
T  +28.4170166 -016.5160816 02-APR-07 11:39:43 83
T  +28.4169616 -016.5160716 02-APR-07 11:39:55 85
T  +28.4161849 -016.5158616 02-APR-07 11:42:13 110
T  +28.4156166 -016.5158083 02-APR-07 11:43:20 121
T  +28.4156349 -016.5157933 02-APR-07 11:43:35 122
T  +28.4156449 -016.5157950 02-APR-07 11:44:10 123
T  +28.4156266 -016.5158050 02-APR-07 11:44:23 123
