H  SOFTWARE NAME & VERSION
I  PCX5 2.08 by AFTrack 1.00
H  R DATUM                IDX DA            DF            DX            DY            DZ
M  G WGS 84               100 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00

H  R DATUM        
U  LAT LON DEG

H  TRACK SUMMARY
H  Track            Pnts Date     Time     Duration
H  TN Sagadi2Palms   153 13-07-04 07:47:21 02:39:11 Sagadi nach Palmse


H  LATITUDE   LONGITUDE   DATE      TIME     ALT    
T  +59.613542 +025.913962 13-Jul-04 10:27:52 0
T  +59.613557 +025.914055 13-Jul-04 10:29:17 0
T  +59.613557 +025.914087 13-Jul-04 10:29:53 4
T  +59.613508 +025.914260 13-Jul-04 10:30:01 1
T  +59.613198 +025.914708 13-Jul-04 10:30:15 1
T  +59.610093 +025.916487 13-Jul-04 10:34:15 8
T  +59.609180 +025.916838 13-Jul-04 10:34:48 7
T  +59.608945 +025.917043 13-Jul-04 10:34:55 6
T  +59.604925 +025.919150 13-Jul-04 10:36:40 6
T  +59.600990 +025.918757 13-Jul-04 10:38:24 4
T  +59.596937 +025.914807 13-Jul-04 10:40:07 1
T  +59.593190 +025.909985 13-Jul-04 10:41:54 5
T  +59.588970 +025.908175 13-Jul-04 10:43:42 1
T  +59.586822 +025.906883 13-Jul-04 10:44:37 2
T  +59.583168 +025.910782 13-Jul-04 10:46:16 0
T  +59.580363 +025.916793 13-Jul-04 10:47:56 1
T  +59.577758 +025.921080 13-Jul-04 10:49:25 9
T  +59.575622 +025.928393 13-Jul-04 10:51:16 11
T  +59.572038 +025.932310 13-Jul-04 10:53:12 14
T  +59.569000 +025.936887 13-Jul-04 10:54:52 11
T  +59.566448 +025.942937 13-Jul-04 10:56:31 14
T  +59.564672 +025.949903 13-Jul-04 10:58:05 15
T  +59.563177 +025.957478 13-Jul-04 10:59:38 15
T  +59.562303 +025.965490 13-Jul-04 11:01:12 17
T  +59.563132 +025.973610 13-Jul-04 11:02:45 22
T  +59.563997 +025.977553 13-Jul-04 11:03:34 22
T  +59.561032 +025.983320 13-Jul-04 11:05:12 23
T  +59.559045 +025.991697 13-Jul-04 11:07:01 35
T  +59.557353 +025.994057 13-Jul-04 11:08:06 33
T  +59.557010 +025.993842 13-Jul-04 11:08:22 37
T  +59.556978 +025.993847 13-Jul-04 11:08:32 38
T  +59.556955 +025.993827 13-Jul-04 11:08:48 43
T  +59.556975 +025.993787 13-Jul-04 11:08:59 41
T  +59.557163 +025.993878 13-Jul-04 11:14:47 59
T  +59.557052 +025.993810 13-Jul-04 11:14:55 54
T  +59.555442 +025.992180 13-Jul-04 11:16:04 58
T  +59.555217 +025.991930 13-Jul-04 11:16:12 58
T  +59.543982 +025.981335 13-Jul-04 11:21:27 54
T  +59.540128 +025.979302 13-Jul-04 11:23:05 51
T  +59.536675 +025.978030 13-Jul-04 11:24:28 60
T  +59.532750 +025.971592 13-Jul-04 11:26:27 61
T  +59.529512 +025.965898 13-Jul-04 11:28:09 64
T  +59.525695 +025.961838 13-Jul-04 11:29:42 54
T  +59.521372 +025.954317 13-Jul-04 11:31:58 41
T  +59.521382 +025.954240 13-Jul-04 11:32:05 40
T  +59.521388 +025.954038 13-Jul-04 11:32:13 41
T  +59.520805 +025.950502 13-Jul-04 11:33:14 49
T  +59.517962 +025.945228 13-Jul-04 11:35:03 53
T  +59.516965 +025.944078 13-Jul-04 11:35:34 54
T  +59.516633 +025.944342 13-Jul-04 11:35:43 52
T  +59.513733 +025.951410 13-Jul-04 11:37:25 50
T  +59.512143 +025.955073 13-Jul-04 11:38:21 57
T  +59.511965 +025.954885 13-Jul-04 11:38:28 58
T  +59.511960 +025.954638 13-Jul-04 11:38:36 57
T  +59.512143 +025.954377 13-Jul-04 11:38:52 54
T  +59.512148 +025.954373 13-Jul-04 11:39:01 52
